Address	Length	Original bytes	Patched bytes
0045D1B6	0x2	F6 4A 	00 4B 
0045D1D9	0x1	D3 	DD 
0045D924	0x1	88 	92 
0045DB2A	0x1	82 	8C 
0045DBBB	0x1	F1 	FB 
0045DD00	0x1	AC 	B6 
0045DD78	0x1	34 	3E 
0045DD9E	0x1	0E 	18 
0045DF80	0x1	2C 	36 
0045E25D	0x1	4F 	59 
0045E369	0x1	43 	4D 
0045E7AC	0x1	00 	0A 
0045EBA7	0x1	05 	0F 
0045ED46	0x1	66 	70 
0045ED6A	0x1	42 	4C 
0045F3A7	0x1	05 	0F 
0045FEFF	0x1	AD 	B7 
00460007	0x1	A5 	AF 
0046003C	0x1	70 	7A 
00460058	0x1	54 	5E 
00460088	0x1	24 	2E 
004600DB	0x1	D1 	DB 
00460247	0x1	65 	6F 
0046032D	0x1	7F 	89 
00460378	0x1	34 	3E 
0046043B	0x1	71 	7B 
00460582	0x1	2A 	34 
004605D8	0x1	D4 	DE 
00460657	0x1	55 	5F 
004606D5	0x1	D7 	E1 
004607B7	0x1	F5 	FF 
00460816	0x1	96 	A0 
00460C3F	0x1	6D 	77 
004611C3	0x1	E9 	F3 
004611ED	0x1	BF 	C9 
00461230	0x1	7C 	86 
00461269	0x1	43 	4D 
00461302	0x1	AA 	B4 
004615D3	0x1	D9 	E3 
00461897	0x1	15 	1F 
00461A26	0x1	86 	90 
004621DE	0x1	CE 	D8 
00462286	0x1	26 	30 
004623A3	0x1	09 	13 
004623D8	0x1	D4 	DE 
00463A8D	0x1	1F 	29 
004643EF	0x1	BD 	C7 
004644BE	0x1	EE 	F8 
0046450C	0x1	A0 	AA 
0046453B	0x1	71 	7B 
00464585	0x1	27 	31 
00464764	0x1	48 	52 
004647B2	0x2	FA D4 	04 D5 
00464863	0x1	49 	53 
00464C3F	0x1	6D 	77 
00464D9A	0x1	12 	1C 
00464DDE	0x1	CE 	D8 
00464DFE	0x1	AE 	B8 
00464F95	0x1	17 	21 
004651BA	0x1	F2 	FC 
0046521F	0x1	8D 	97 
0046529F	0x1	0D 	17 
004652CF	0x1	DD 	E7 
00465308	0x1	A4 	AE 
00465460	0x1	4C 	56 
0046563F	0x1	6D 	77 
00465808	0x1	A4 	AE 
00466D57	0x1	55 	5F 
00467026	0x1	86 	90 
004674E2	0x1	CA 	D4 
00467557	0x1	55 	5F 
00467584	0x1	28 	32 
00467644	0x1	68 	72 
00467701	0x1	AB 	B5 
004677E5	0x1	C7 	D1 
0046789C	0x1	10 	1A 
004678D1	0x1	DB 	E5 
00467969	0x1	43 	4D 
004679E2	0x1	CA 	D4 
